district,district_id
Beirut I,406
Beirut I,406
Beirut I,406
Beirut I,406
Beirut I,406
Beirut II,990
Beirut II,990
Beirut II,990
Beirut II,990
Beirut III,648
Beirut III,648
Beirut III,648
Beirut III,648
Beirut III,648
Beirut III,648
Beirut III,648
Beirut III,648
Beirut III,648
Beirut III,648
Akkar,69
Akkar,69
Akkar,69
Akkar,69
Akkar,69
Akkar,69
Akkar,69
Minyeh,613
Dinniyeh,17
Dinniyeh,17
Tripoli,276
Tripoli,276
Tripoli,276
Tripoli,276
Tripoli,276
Tripoli,276
Tripoli,276
Tripoli,276
Zgharta,222
Zgharta,222
Zgharta,222
Koura,76
Koura,76
Koura,76
Koura,76
Bsharri,272
Bsharri,272
Batroun,362
Batroun,362
Jbeil,48
Jbeil,48
Jbeil,48
Kesserwan,926
Kesserwan,926
Kesserwan,926
Kesserwan,926
Kesserwan,926
Metn,663
Metn,663
Metn,663
Metn,663
Metn,663
Metn,663
Metn,663
Metn,663
Baabda,471
Baabda,471
Baabda,471
Baabda,471
Baabda,471
Baabda,471
Aley,673
Aley,673
Aley,673
Aley,673
Aley,673
Chouf,86
Chouf,86
Chouf,86
Chouf,86
Chouf,86
Chouf,86
Chouf,86
Chouf,86
Saida,995
Saida,995
Zahrani,217
Zahrani,217
Zahrani,217
Sour,687
Sour,687
Sour,687
Sour,687
Jezzine,289
Jezzine,289
Jezzine,289
Bint Jbeil,282
Bint Jbeil,282
Bint Jbeil,282
Nabatieh,909
Nabatieh,909
Nabatieh,909
Hasbaya/Marjeyoun,188
Hasbaya/Marjeyoun,188
Hasbaya/Marjeyoun,188
Hasbaya/Marjeyoun,188
Hasbaya/Marjeyoun,188
West Beqaa/Rashaya,724
West Beqaa/Rashaya,724
West Beqaa/Rashaya,724
West Beqaa/Rashaya,724
West Beqaa/Rashaya,724
West Beqaa/Rashaya,724
Zahlé,562
Zahlé,562
Zahlé,562
Zahlé,562
Zahlé,562
Zahlé,562
Zahlé,562
Baalbeck/Hermil,338
Baalbeck/Hermil,338
Baalbeck/Hermil,338
Baalbeck/Hermil,338
Baalbeck/Hermil,338
Baalbeck/Hermil,338
Baalbeck/Hermil,338
Baalbeck/Hermil,338
Baalbeck/Hermil,338
Baalbeck/Hermil,338
